DAY	DISC_RATE
2000-02-02	5.25
2000-03-21	5.50
2000-05-16	6.00
2000-06-28	6.00
2000-08-22	6.00
2000-10-03	6.00
2000-11-15	6.00
2000-12-19	6.00
2001-01-03	5.75
2001-01-31	5.00
2001-03-20	4.50
2001-04-18	4.00
2001-05-15	3.50
2001-06-27	3.25
2001-08-21	3.00
2001-09-17	2.50
2001-10-02	2.00
2001-11-06	1.50
2001-12-11	1.25
2002-01-30	1.25
2002-03-19	1.25
2002-05-07	1.25
2002-06-26	1.25
2002-08-13	1.25
2002-09-24	1.25
2002-11-06	0.75
2002-12-10	0.75
2003-01-09	2.25
2003-01-29	2.25
2003-03-18	2.25
2003-05-06	2.25
2003-06-25	2.00
2003-08-12	2.00
2003-09-16	2.00
2003-10-28	2.00
2003-12-09	2.00
2004-01-28	2.00
2004-03-16	2.00
2004-05-04	2.00
2004-06-30	2.25
2004-08-10	2.50
2004-09-21	2.75
2004-11-10	3.00
2004-12-14	3.25
2005-02-02	3.50
2005-03-22	3.75
2005-05-03	4.00
2005-06-30	4.25
2005-08-09	4.50
2005-09-20	4.75
2005-11-01	5.00
2005-12-13	5.25
2006-01-31	5.50
2006-03-28	5.75
2006-05-10	6.00
2006-06-29	6.25
2006-08-08	6.25
2006-09-20	6.25
2006-10-25	6.25
2006-12-12	6.25
2007-01-31	6.25
2007-03-21	6.25
2007-05-09	6.25
2007-06-28	6.25
2007-08-07	6.25
2007-08-17	5.75
2007-09-18	5.25
2007-10-31	5.00
2007-12-11	4.75
2008-01-22	4.00
2008-01-30	3.50
2008-03-16	3.25
2008-03-18	2.50
2008-04-30	2.25
2008-08-05	2.25
2008-09-16	2.25
2008-10-08	1.75
2008-10-29	1.25
2008-12-16	0.50
2011-06-22	0.75
2015-12-16	1.00
2016-12-14	1.25
2017-03-15	1.50
2017-06-14	1.75
2017-12-13	2.00
2018-03-21	2.25
2018-06-13	2.50
2018-09-26	2.75
2018-12-19	3.00
2019-07-31	2.75
2019-09-18	2.75
2019-10-30	2.75
2020-03-03	2.75
2020-03-15	0.25
2020-03-19	0.25
2020-03-23	0.25
2020-03-31	0.25
2020-04-29	0.25
2020-06-10	0.25
2020-07-29	0.25
2020-08-27	0.25
2020-09-16	0.25
2020-11-05	0.25
2022-03-16	0.50
2022-05-04	1.00
2022-06-15	1.75
2022-07-27	2.50
2022-09-21	3.25
2022-11-02	4.00
2022-12-14	4.50
2023-02-01	4.75
2023-03-22	5.00
2023-05-03	5.25
2023-06-14	5.25
2023-07-26	5.50
2023-09-20	5.50
2023-11-01	5.50
2023-12-13	5.50
2024-01-31	5.50
2024-03-20	5.50
2024-05-01	5.50
2024-06-12	5.50
2024-07-31	5.50
2024-09-18	5.00
